components,l1_hlt_mode_stripped,l1_key,duration,l1_triggers_counter,hlt_physics_throughput,init_lumi,last_update,recorded_lumi,delivered_lumi,energy,end_lumi,hlt_physics_rate,fill_number,l1_hlt_mode,end_time,trigger_mode,l1_key_stripped,fill_type_party2,fill_type_party1,initial_prescale_index,sequence,start_time,hlt_physics_size,fill_type_runtime,hlt_key,last_lumisection_number,l1_rate,l1_menu,run_number,stable_beam,hlt_physics_counter,Fill location
"['CSC', 'CTPPS', 'CTPPS_TOT', 'DAQ', 'DCS', 'DQM', 'DT', 'ECAL', 'ES', 'HCAL', 'PIXEL', 'RPC', 'SCAL', 'TCDS', 'TRACKER', 'TRG']",collisions2018/v66,l1_trg_collisions2018/v9,2733,139241030.0,1.12430359,0.363444,2018-04-26T08:25:04Z,7.581242,7.945422,6499.0,0.0,1394.998,6614.0,collisions2018,2018-04-26T07:13:45Z,l1_hlt_collisions2018/v66,collisions2018/v9,PROTON,PROTON,1.0,GLOBAL-RUN,2018-04-26T06:28:12Z,3013.917,PROTONS,/cdaq/physics/firstCollisions18/v1.9/HLT/V2,115.0,51943.05,L1Menu_Collisions2018_0_0_1,315190,True,3739568.0,(1/1)
"['CTPPS', 'CTPPS_TOT', 'DAQ', 'DCS', 'DQM', 'DT', 'ECAL', 'ES', 'HCAL', 'PIXEL', 'RPC', 'SCAL', 'TCDS', 'TRG']",cosmics2018/v103,l1_trg_cosmics2018/v62,650,521847.0,0.00735115,0.0,2018-04-26T08:41:18Z,0.0,0.0,0.0,0.0,126.663,6615.0,cosmics2018,2018-04-26T07:34:21Z,l1_hlt_cosmics2018/v103,cosmics2018/v62,PROTON,PROTON,0.0,GLOBAL-RUN,2018-04-26T07:23:31Z,4.627,COSMICS,/cdaq/cosmic/commissioning2018/CRAFT/v1.2/HLT/V2,27.0,829.159,L1Menu_Collisions2018_0_0_1,315193,False,79719.0,(1/42)
"['CTPPS', 'DAQ', 'DCS', 'DQM', 'DT', 'ECAL', 'ES', 'HCAL', 'PIXEL', 'RPC', 'SCAL', 'TCDS', 'TRACKER', 'TRG']",cosmics2018/v103,l1_trg_cosmics2018/v62,3502,2679933.0,0.00396567,0.0,2018-04-26T09:42:13Z,0.0,0.0,0.0,0.0,56.02,6615.0,cosmics2018,2018-04-26T08:37:58Z,l1_hlt_cosmics2018/v103,cosmics2018/v62,PROTON,PROTON,0.0,GLOBAL-RUN,2018-04-26T07:39:36Z,13.774,COSMICS,/cdaq/cosmic/commissioning2018/CRAFT/v1.2/HLT/V2,149.0,771.606,L1Menu_Collisions2018_0_0_1,315194,False,194572.0,(2/42)
"['CTPPS', 'CTPPS_TOT', 'DAQ', 'DCS', 'DQM', 'DT', 'ECAL', 'ES', 'PIXEL', 'RPC', 'SCAL', 'TCDS', 'TRACKER', 'TRG']",cosmics2018/v104,l1_trg_cosmics2018/v62,191,108364.0,0.00028071,0.0,2018-04-26T10:00:55Z,0.0,0.0,0.0,0.0,9.426,6615.0,cosmics2018,2018-04-26T08:43:59Z,l1_hlt_cosmics2018/v104,cosmics2018/v62,PROTON,PROTON,0.0,GLOBAL-RUN,2018-04-26T08:40:48Z,0.046,COSMICS,/cdaq/cosmic/commissioning2018/CRAFT/v1.2/HLT/V2,7.0,664.118,L1Menu_Collisions2018_0_0_1,315201,False,1538.0,(3/42)
"['CTPPS', 'CTPPS_TOT', 'DAQ', 'DCS', 'DQM', 'DT', 'ECAL', 'ES', 'PIXEL', 'RPC', 'SCAL', 'TCDS', 'TRACKER', 'TRG']",collisions2018/v67,l1_trg_collisions2018/v9,171,87166.0,3.125e-05,0.0,2018-04-26T10:05:56Z,0.0,0.0,0.0,0.0,0.107,6615.0,collisions2018,2018-04-26T09:02:14Z,l1_hlt_collisions2018/v67,collisions2018/v9,PROTON,PROTON,0.0,GLOBAL-RUN,2018-04-26T08:59:23Z,0.004,PROTONS,/cdaq/physics/firstCollisions18/v1.9/HLT/V2,6.0,623.238,L1Menu_Collisions2018_0_0_1,315205,False,15.0,(4/42)
"['CTPPS', 'CTPPS_TOT', 'DAQ', 'DCS', 'DQM', 'DT', 'ECAL', 'ES', 'PIXEL', 'RPC', 'SCAL', 'TCDS', 'TRACKER', 'TRG']",cosmics2018/v104,l1_trg_cosmics2018/v62,1870,1455972.0,0.00472389,0.0,2018-04-26T10:39:42Z,0.0,0.0,0.0,0.0,80.402,6615.0,cosmics2018,2018-04-26T09:35:38Z,l1_hlt_cosmics2018/v104,cosmics2018/v62,PROTON,PROTON,0.0,GLOBAL-RUN,2018-04-26T09:04:28Z,8.699,COSMICS,/cdaq/cosmic/commissioning2018/CRAFT/v1.2/HLT/V2,79.0,790.65,L1Menu_Collisions2018_0_0_1,315206,False,148063.0,(5/42)
"['CTPPS', 'CTPPS_TOT', 'DAQ', 'DCS', 'DQM', 'DT', 'ECAL', 'ES', 'PIXEL', 'RPC', 'SCAL', 'TCDS', 'TRACKER', 'TRG']",cosmics2018/v104,l1_trg_cosmics2018/v62,2524,1938863.0,0.00449423,0.0,2018-04-26T11:37:02Z,0.0,0.0,0.0,0.0,76.502,6615.0,cosmics2018,2018-04-26T10:19:56Z,l1_hlt_cosmics2018/v104,cosmics2018/v62,PROTON,PROTON,0.0,GLOBAL-RUN,2018-04-26T09:37:52Z,11.105,COSMICS,/cdaq/cosmic/commissioning2018/CRAFT/v1.2/HLT/V2,106.0,784.692,L1Menu_Collisions2018_0_0_1,315210,False,189028.0,(6/42)
"['CTPPS', 'CTPPS_TOT', 'DAQ', 'DCS', 'DQM', 'DT', 'ECAL', 'ES', 'RPC', 'SCAL', 'TCDS', 'TRG']",cosmics2018/v105,l1_trg_cosmics2018/v63,83,22979.0,0.00012607,0.0,2018-04-26T11:44:38Z,0.0,0.0,0.0,0.0,6.757,6615.0,cosmics2018,2018-04-26T10:36:38Z,l1_hlt_cosmics2018/v105,cosmics2018/v63,PROTON,PROTON,0.0,GLOBAL-RUN,2018-04-26T10:35:15Z,0.006,COSMICS,/cdaq/cosmic/commissioning2018/CRAFT/v1.2/HLT/V2,2.0,492.901,L1Menu_Collisions2018_0_0_1,315214,False,315.0,(7/42)
"['CTPPS', 'CTPPS_TOT', 'DAQ', 'DCS', 'DQM', 'DT', 'ECAL', 'ES', 'RPC', 'SCAL', 'TCDS', 'TRACKER', 'TRG']",circulating2018/v34,l1_trg_circulating2018/v18,251,3072.0,1.717e-05,0.0,2018-04-26T11:52:21Z,0.0,0.0,0.0,0.0,0.06,6615.0,circulating2018,2018-04-26T10:47:18Z,l1_hlt_circulating2018/v34,circulating2018/v18,PROTON,PROTON,2.0,GLOBAL-RUN,2018-04-26T10:43:07Z,0.002,PROTONS,/cdaq/special/Circulating2018/v1.0.3/HLT/V2,9.0,21.965,L1Menu_Collisions2018_0_0_1,315215,False,7.0,(8/42)
"['CTPPS', 'CTPPS_TOT', 'DAQ', 'DCS', 'DQM', 'DT', 'ECAL', 'ES', 'RPC', 'SCAL', 'TCDS', 'TRG']",circulating2018/v34,l1_trg_circulating2018/v18,1602,1528734.0,0.00011365,0.0,2018-04-26T12:32:48Z,0.0,0.0,0.0,0.0,3.405,6615.0,circulating2018,2018-04-26T11:17:38Z,l1_hlt_circulating2018/v34,circulating2018/v18,PROTON,PROTON,2.0,GLOBAL-RUN,2018-04-26T10:50:56Z,0.178,PROTONS,/cdaq/special/Circulating2018/v1.0.3/HLT/V2,67.0,978.848,L1Menu_Collisions2018_0_0_1,315216,False,5318.0,(9/42)
